id;data_aula;habilidades_competencias;observacoes
1;2021-03-29;Loop;models responsive
2;2021-03-29;Product Cheese;Swedish Krona
3;2021-03-28;Developer optical Borders;Ergonomic Wooden Soap withdrawal
4;2021-03-28;Metal Tasty Concrete Chicken;input
5;2021-03-29;hub fuchsia;New Israeli Sheqel end-to-end
6;2021-03-28;Avon harness;Music generating Forward
7;2021-03-29;Legacy bandwidth SDD;bluetooth Sudanese Pound back up
8;2021-03-28;copy Minnesota;Awesome Grocery
9;2021-03-29;Concrete;Horizontal Chief
10;2021-03-29;Towels Computers leverage;calculate AGP
